2023-12-13 21:14:56.107 INFO  2900 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4134 ms
2023-12-13 21:15:00.776 INFO  2900 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2023-12-13 21:15:00.849 INFO  2900 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2023-12-13 21:15:00.883 INFO  2900 --- [main] com.pg.screen.PowerGridScreenApplication - Started PowerGridScreenApplication in 10.575 seconds (JVM running for 20.686)
2023-12-13 21:15:10.124 INFO  2900 --- [http-nio-8001-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-13 21:15:10.125 INFO  2900 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-12-13 21:15:10.128 INFO  2900 --- [http-nio-8001-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-12-13 21:15:10.410 INFO  2900 --- [http-nio-8001-exec-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-13 21:15:11.512 INFO  2900 --- [http-nio-8001-exec-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-13 21:15:11.531 DEBUG 2900 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - ==>  Preparing: SELECT id, work_order_time, work_order_number, work_order_status, work_order_unit, operation_team, problem_type, defect_grade, defective_content, substation, owning_line, device_name, physical_id_number, device_type, family_defect, proposed_scheme, task_source, discovery_time, processing_time, process_description FROM DEFECT_LIBRARY WHERE processing_time BETWEEN ? AND ? AND work_order_status = ?
2023-12-13 21:15:11.988 DEBUG 2900 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - ==> Parameters: 2023-01-03(LocalDate), 2023-01-05(LocalDate), 已消缺(String)
2023-12-13 21:15:12.452 DEBUG 2900 --- [http-nio-8001-exec-1] c.p.s.mapper.DefectLibraryMapper.selectListByQuery - <==      Total: 44
2023-12-13 21:15:12.458 INFO  2900 --- [http-nio-8001-exec-1] mybatis-flex-sql - SELECT id, work_order_time, work_order_number, work_order_status, work_order_unit, operation_team, problem_type, defect_grade, defective_content, substation, owning_line, device_name, physical_id_number, device_type, family_defect, proposed_scheme, task_source, discovery_time, processing_time, process_description FROM DEFECT_LIBRARY WHERE processing_time BETWEEN  '2023-01-03' AND '2023-01-05'  AND work_order_status = '已消缺',469ms
2023-12-13 21:15:25.330 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:15:26.463 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:15:27.422 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:15:28.375 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:15:29.683 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:15:34.602 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:16:43.711 WARN  2900 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=58s533ms785µs200ns).
2023-12-13 21:16:43.727 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:16:44.321 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:1000
2023-12-13 21:16:53.966 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:16:55.636 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:16:55.637 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:16:55.637 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:16:55.637 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:16:55.637 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:08.720 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天1小时
2023-12-13 21:17:19.853 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.855 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.856 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.857 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.859 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.860 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.880 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.884 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:19.885 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:25.573 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天0小时
2023-12-13 21:17:26.185 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:111000
2023-12-13 21:17:26.186 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:26.191 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:26.191 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:26.191 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:26.192 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:26.192 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:26.192 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
2023-12-13 21:17:29.875 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - 0天1小时
2023-12-13 21:17:33.047 INFO  2900 --- [http-nio-8001-exec-1] com.pg.screen.service.OmAnalyzeService - time:0
